id;direccion;nombre_contacto;nombre_empresa;notas;sitio_web;telefono_fijo;telefono_fijo_2;telefono_movil;telefono_movil_2
1;where;perp whack;status painfully propound;secularize pick instantly;times prioritize;12013;32057;27367;4567
2;whose;expense;by;pronoun chairperson;whenever fooey since;21662;1467;19572;24116
3;once;unpleasant;grown meanwhile contractor;mild on;whenever;2831;18637;6939;1700
4;phew;whenever;unbalance giving;whereas although vaguely;regarding;29839;26692;4702;13583
5;gah yet brief;zowie happily;blah vulgarise except;suddenly awareness;the impact burdensome;31316;534;8075;7024
6;boo;prejudge mysteriously following;instead in;countess barring libel;cheap nicely;27534;7389;12361;22654
7;per;atop cassava ouch;lest;since;excepting for meaningfully;12139;10032;11895;20328
8;and;sadly government cleverly;yuck;entrench provided uh-huh;blah pfft and;25203;6738;1732;13684
9;until;fluctuate ew;valiantly;place helplessly;whose bewail;4086;30620;21026;22729
10;hence;till pfft ah;while;french;highly;29606;17709;4452;17440
